time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-06-14T13:19:37.120Z,19.4136667,-155.282,0.43,5.3,mw,39,33,0.00444,0.13,hv,hv70265441,2018-09-07T17:47:03.040Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.14,0.12,,20,reviewed,hv,hv
2018-06-15T21:56:39.920Z,19.415,-155.283,0.2,5.3,mw,38,30,0.002843,0.14,hv,hv70272196,2018-09-07T17:47:06.040Z,"4km WSW of Volcano, Hawaii",volcanic eruption,0.14,0.1,,16,reviewed,hv,hv
2018-06-16T20:18:17.660Z,19.412,-155.2858333,0.26,5.3,mw,35,25,0.005866,0.1,hv,hv70276646,2018-09-14T23:31:48.802Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.12,0.1,,13,reviewed,hv,hv
2018-06-17T16:26:13.090Z,19.4103333,-155.2813333,0.8,5.3,mw,38,28,0.007743,0.1,hv,hv70280586,2018-09-07T17:47:08.040Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.15,0.12,,7,reviewed,hv,hv
2018-06-18T16:12:48.500Z,19.4113333,-155.2835,0.33,5.3,mw,35,27,0.006321,0.09,hv,hv70285321,2018-09-19T15:15:48.040Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.11,0.1,,12,reviewed,hv,hv
2018-06-19T15:05:34.000Z,19.4106667,-155.2816667,0.49,5.3,mw,38,27,0.007327,0.09,hv,hv70289831,2018-09-19T15:15:49.040Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.14,0.1,,22,reviewed,hv,hv
2018-06-20T14:22:23.430Z,19.4143333,-155.2861667,-0.02,5.3,mw,33,30,0.003845,0.12,hv,hv70294636,2018-09-19T15:15:51.040Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.14,0.12,,29,reviewed,hv,hv
2018-06-21T23:12:59.370Z,19.4115,-155.2833333,0.46,5.4,mw,38,24,0.006172,0.09,hv,hv70301461,2018-09-19T15:15:53.040Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.12,0.09,,9,reviewed,hv,hv
2018-06-23T04:52:16.210Z,19.3983333,-155.2726667,0.28,5.3,mw,39,41,0.00309,0.11,hv,hv70307431,2018-09-19T15:15:56.040Z,"5km SW of Volcano, Hawaii",volcanic eruption,0.13,0.11,,23,reviewed,hv,hv
2018-06-24T02:34:36.270Z,19.4116667,-155.285,0.03,5.2,mw,38,25,0.006025,0.13,hv,hv70311776,2018-09-19T15:15:57.040Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.13,0.14,,24,reviewed,hv,hv
