time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-08-05T03:17:12.620Z,19.3698333,-155.2593333,0.12,2.26,ml,31,53,0.004262,0.1,hv,hv70523472,2019-01-18T21:45:15.260Z,"7km SSW of Volcano, Hawaii",earthquake,0.13,0.12,0.138,15,reviewed,hv,hv
2018-08-05T03:05:21.420Z,19.395,-155.2766667,0.24,2.5,ml,29,41,0.002878,0.08,hv,hv70523447,2018-10-16T15:34:08.040Z,"5km SW of Volcano, Hawaii",earthquake,0.14,0.11,0.253,23,reviewed,hv,hv
2018-08-05T03:04:40.440Z,19.4163333,-155.2638333,1.52,1.76,ml,20,91,0.005638,0.06,hv,hv70523442,2018-08-05T22:21:58.810Z,"3km WSW of Volcano, Hawaii",earthquake,0.25,0.21,0.184,14,reviewed,hv,hv
2018-08-05T02:59:40.930Z,19.3941667,-155.2801667,0.5,2.46,ml,23,40,0.006273,0.08,hv,hv70523437,2018-10-16T15:34:08.040Z,"6km SW of Volcano, Hawaii",earthquake,0.15,0.18,0.182,28,reviewed,hv,hv
2018-08-05T02:54:15.410Z,19.3955,-155.28,0.51,2.35,ml,27,36,0.006002,0.07,hv,hv70523422,2018-08-05T11:01:12.364Z,"5km SW of Volcano, Hawaii",earthquake,0.15,0.15,0.202,29,reviewed,hv,hv
2018-08-05T02:48:27.210Z,19.3951667,-155.2808333,0.4,2.38,ml,30,32,0.00679,0.07,hv,hv70523402,2018-08-05T08:19:56.020Z,"6km SW of Volcano, Hawaii",earthquake,0.13,0.14,0.221,16,reviewed,hv,hv
2018-08-05T02:28:47.020Z,19.3899994,-155.2768402,0.3,1.72,ml,18,87,0.005751,0.17,hv,hv70523352,2018-08-05T02:34:27.890Z,"6km SW of Volcano, Hawaii",earthquake,0.22,0.37,0.3,7,automatic,hv,hv
2018-08-05T02:13:45.120Z,19.3991661,-155.2758331,2,1.93,ml,19,46,0.004307,0.29,hv,hv70523317,2018-08-05T02:19:26.290Z,"5km SW of Volcano, Hawaii",earthquake,0.48,0.85,0.34,12,automatic,hv,hv
2018-08-05T01:39:32.330Z,19.4128333,-155.2633333,0.51,1.63,ml,18,89,0.003346,0.07,hv,hv70523232,2019-01-25T20:39:13.440Z,"3km SW of Volcano, Hawaii",earthquake,0.17,0.18,0.169,11,reviewed,hv,hv
2018-08-05T01:30:57.050Z,19.3950005,-155.2856598,1.39,1.7,ml,16,83,0.009211,0.15,hv,hv70523202,2018-08-05T01:36:44.010Z,"6km SW of Volcano, Hawaii",earthquake,0.25,0.51,0.27,6,automatic,hv,hv
2018-08-05T01:21:01.730Z,19.3834991,-155.2655029,0.76,1.93,ml,17,71,0.01203,0.18,hv,hv70523162,2018-08-05T01:26:41.540Z,"5km SSW of Volcano, Hawaii",earthquake,0.26,0.31,0.19,12,automatic,hv,hv
2018-08-05T01:19:44.570Z,19.3908329,-155.2736664,2.2,1.89,md,17,88,0.004511,0.35,hv,hv70523157,2018-08-05T01:22:37.370Z,"5km SW of Volcano, Hawaii",earthquake,0.5,0.72,0.23,13,automatic,hv,hv
2018-08-05T01:04:43.060Z,19.3963333,-155.2811667,0.12,1.6,ml,18,55,0.007167,0.07,hv,hv70523107,2018-08-05T08:48:03.330Z,"5km SW of Volcano, Hawaii",earthquake,0.16,0.21,0.206,7,reviewed,hv,hv
