time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-05-31T22:17:46.730Z,19.4004993,-155.2823334,0.23,1.8,md,14,80,0.009662,0.2,hv,hv70214607,2018-05-31T22:20:43.890Z,"5km SW of Volcano, Hawaii",earthquake,0.38,0.6,0.04,5,automatic,hv,hv
2018-05-31T22:17:41.210Z,19.4001675,-155.2798309,-0.59,2.04,ml,9,100,0.007544,0.11,hv,hv70214602,2018-05-31T22:23:22.440Z,"5km SW of Volcano, Hawaii",earthquake,0.21,0.7,0.23,11,automatic,hv,hv
2018-05-31T22:07:47.260Z,19.4008331,-155.2701721,0.7,1.71,ml,16,56,0.004681,0.15,hv,hv70214572,2018-05-31T22:13:27.310Z,"4km SW of Volcano, Hawaii",earthquake,0.23,0.25,0.21,4,automatic,hv,hv
2018-05-31T22:04:31.560Z,19.3985004,-155.2896729,0.77,2.42,ml,33,43,0.009386,0.22,hv,hv70214567,2018-05-31T22:10:12.850Z,"6km WSW of Volcano, Hawaii",earthquake,0.23,0.2,0.26,15,automatic,hv,hv
2018-05-31T21:51:29.960Z,19.4076672,-155.2810059,0.53,2.12,ml,18,79,0.01036,0.2,hv,hv70214512,2018-05-31T21:57:09.120Z,"5km WSW of Volcano, Hawaii",earthquake,0.41,0.34,0.26,5,automatic,hv,hv
2018-05-31T21:48:26.390Z,19.4026661,-155.2761688,0.34,2.38,ml,8,120,0.02202,0.17,hv,hv70214502,2018-05-31T21:54:15.510Z,"5km SW of Volcano, Hawaii",earthquake,0.62,0.8,0.28,10,automatic,hv,hv
2018-05-31T21:48:25.550Z,19.3983326,-155.2740021,0.28,2.47,ml,20,72,0.002969,0.11,hv,hv70214497,2018-05-31T21:54:05.460Z,"5km SW of Volcano, Hawaii",earthquake,0.21,0.17,0.34,11,automatic,hv,hv
2018-05-31T21:47:30.770Z,19.4116669,-155.286499,1.11,1.71,ml,19,70,0.00638,0.17,hv,hv70214492,2018-05-31T21:53:10.770Z,"5km WSW of Volcano, Hawaii",earthquake,0.26,0.21,0.4,7,automatic,hv,hv
2018-05-31T21:40:53.060Z,19.4186668,-155.2686615,1.13,2.09,ml,19,53,0.008418,0.12,hv,hv70214477,2018-05-31T21:46:35.330Z,"3km WSW of Volcano, Hawaii",earthquake,0.25,0.16,0.25,6,automatic,hv,hv
2018-05-31T21:31:12.120Z,19.4204998,-155.2774963,0.89,1.82,ml,16,87,0.004239,0.19,hv,hv70214462,2018-05-31T21:36:53.400Z,"4km WSW of Volcano, Hawaii",earthquake,0.33,0.27,0.14,7,automatic,hv,hv
2018-05-31T21:27:36.000Z,19.3983326,-155.2884979,1.11,2.03,ml,21,57,0.01337,0.11,hv,hv70214457,2018-05-31T21:33:18.600Z,"6km SW of Volcano, Hawaii",earthquake,0.19,0.27,0.26,8,automatic,hv,hv
2018-05-31T21:25:28.570Z,19.3998337,-155.2924957,1.08,1.77,ml,16,108,0.01669,0.08,hv,hv70214447,2018-05-31T21:31:10.240Z,"6km WSW of Volcano, Hawaii",earthquake,0.25,0.38,0.08,5,automatic,hv,hv
2018-05-31T21:12:10.450Z,19.4233333,-155.2621667,0.18,2.41,ml,43,48,0.001195,0.1,hv,hv70214417,2018-09-14T21:19:41.650Z,"2km WSW of Volcano, Hawaii",earthquake,0.16,0.09,0.144,23,reviewed,hv,hv
2018-05-31T21:06:51.050Z,19.3859997,-155.2859955,1.55,1.73,md,8,162,0.004075,0.23,hv,hv70214402,2018-05-31T21:09:44.240Z,"7km SW of Volcano, Hawaii",earthquake,0.88,0.73,0.2,5,automatic,hv,hv
2018-05-31T20:52:32.220Z,19.3899994,-155.3018341,2.34,2.24,ml,19,70,0.02127,0.34,hv,hv70214367,2018-05-31T20:58:17.400Z,"8km SW of Volcano, Hawaii",earthquake,0.62,1.06,0.33,13,automatic,hv,hv
2018-05-31T20:32:02.810Z,19.4281673,-155.2590027,0.14,1.9,ml,10,239,0.005421,0.1,hv,hv70214317,2018-05-31T20:37:43.240Z,"2km W of Volcano, Hawaii",earthquake,0.57,0.25,0.36,5,automatic,hv,hv
2018-05-31T20:23:14.820Z,19.4058342,-155.2836609,0.21,2.22,ml,16,76,0.01177,0.17,hv,hv70214297,2018-05-31T20:28:55.870Z,"5km WSW of Volcano, Hawaii",earthquake,0.28,0.31,0.22,6,automatic,hv,hv
2018-05-31T20:22:49.700Z,19.4198341,-155.2814941,2.08,1.89,ml,14,90,0.003272,0.27,hv,hv70214292,2018-05-31T20:28:29.100Z,"4km WSW of Volcano, Hawaii",earthquake,0.58,0.46,0.31,10,automatic,hv,hv
2018-05-31T20:04:15.840Z,19.4248333,-155.2821655,0.17,1.81,ml,10,75,0.004326,0.24,hv,hv70214222,2018-05-31T20:22:48.533Z,"4km W of Volcano, Hawaii",earthquake,0.68,0.26,0.36,6,automatic,hv,hv
2018-05-31T20:03:47.280Z,19.3953342,-155.2884979,0.59,2.08,ml,11,77,0.01402,0.18,hv,hv70214217,2018-05-31T20:09:28.440Z,"6km SW of Volcano, Hawaii",earthquake,0.25,0.48,0.38,5,automatic,hv,hv
2018-05-31T20:02:59.060Z,19.3771667,-155.2861633,-0.53,2.2,ml,18,95,0.01022,0.21,hv,hv70214212,2018-05-31T20:08:39.050Z,"7km SW of Volcano, Hawaii",earthquake,0.27,0.42,0.36,12,automatic,hv,hv
2018-05-31T19:58:27.930Z,19.4068336,-155.2851715,0.13,2.42,ml,24,60,0.01082,0.22,hv,hv70214202,2018-05-31T20:04:24.950Z,"5km WSW of Volcano, Hawaii",earthquake,0.21,0.24,0.35,16,automatic,hv,hv
2018-05-31T19:50:00.160Z,19.4109993,-155.2798309,0.7,2.54,ml,41,30,0.007755,0.21,hv,hv70214177,2018-05-31T19:55:40.840Z,"4km WSW of Volcano, Hawaii",earthquake,0.25,0.17,0.41,20,automatic,hv,hv
2018-05-31T19:45:01.770Z,19.395834,-155.2831726,0.41,2.42,ml,24,70,0.009007,0.12,hv,hv70214167,2018-05-31T19:50:42.300Z,"6km SW of Volcano, Hawaii",earthquake,0.17,0.25,0.34,13,automatic,hv,hv
2018-05-31T19:36:03.890Z,19.4156666,-155.272171,0.64,1.78,ml,9,121,0.01039,0.13,hv,hv70214132,2018-05-31T19:41:45.230Z,"3km WSW of Volcano, Hawaii",earthquake,0.49,0.26,0.11,5,automatic,hv,hv
2018-05-31T19:35:29.170Z,19.4066658,-155.2956696,0.74,2.13,ml,17,75,0.01485,0.2,hv,hv70214127,2018-05-31T19:41:09.350Z,"6km WSW of Volcano, Hawaii",earthquake,0.33,0.41,0.3,7,automatic,hv,hv
2018-05-31T19:32:11.740Z,19.3868332,-155.2618408,5.12,1.85,ml,14,126,0.01003,0.25,hv,hv70214122,2018-05-31T19:37:51.070Z,"5km SSW of Volcano, Hawaii",earthquake,1.21,0.73,0.29,4,automatic,hv,hv
2018-05-31T19:29:11.880Z,19.3691673,-155.2953339,-0.88,1.82,ml,13,290,0.02153,0.24,hv,hv70214117,2018-05-31T19:34:54.080Z,"9km SW of Volcano, Hawaii",earthquake,0.87,0.36,0.25,4,automatic,hv,hv
2018-05-31T19:25:38.090Z,19.3885002,-155.2736664,-1.06,2.23,ml,9,120,0.02683,0.22,hv,hv70214102,2018-05-31T19:31:24.260Z,"6km SW of Volcano, Hawaii",earthquake,0.65,0.96,0.22,10,automatic,hv,hv
2018-05-31T19:25:36.730Z,19.3980007,-155.2931671,0.95,2.27,ml,26,60,0.01572,0.19,hv,hv70214107,2018-05-31T19:31:33.040Z,"6km WSW of Volcano, Hawaii",earthquake,0.21,0.31,0.3,15,automatic,hv,hv
2018-05-31T19:25:33.690Z,19.402,-155.2858333,0.92,2.19,md,17,92,0.01326,0.06,hv,hv70214097,2018-05-31T19:43:29.070Z,"5km WSW of Volcano, Hawaii",earthquake,0.19,0.26,0.096,4,reviewed,hv,hv
2018-05-31T19:18:08.730Z,19.4325008,-155.2811737,0.31,1.96,ml,14,102,0.008413,0.29,hv,hv70214062,2018-05-31T19:23:50.040Z,"4km W of Volcano, Hawaii",earthquake,0.53,0.56,0.27,7,automatic,hv,hv
2018-05-31T19:17:43.560Z,19.3969994,-155.2758331,0.96,2.06,ml,10,165,0.002628,0.19,hv,hv70214057,2018-05-31T19:23:21.530Z,"5km SW of Volcano, Hawaii",earthquake,0.57,0.39,3.13,8,automatic,hv,hv
2018-05-31T19:16:30.800Z,19.3956661,-155.2926636,0.91,1.86,ml,17,57,0.01376,0.2,hv,hv70214052,2018-05-31T19:22:11.110Z,"6km SW of Volcano, Hawaii",earthquake,0.32,0.41,0.3,6,automatic,hv,hv
2018-05-31T18:53:57.400Z,19.4028339,-155.2806702,0.76,1.83,ml,18,77,0.009958,0.11,hv,hv70213962,2018-05-31T18:59:37.640Z,"5km SW of Volcano, Hawaii",earthquake,0.16,0.19,0.29,6,automatic,hv,hv
2018-05-31T18:36:43.550Z,19.4176674,-155.2773285,0.23,1.86,ml,22,52,0.006388,0.24,hv,hv70213907,2018-05-31T18:42:34.120Z,"4km WSW of Volcano, Hawaii",earthquake,0.41,0.23,0.29,7,automatic,hv,hv
2018-05-31T18:35:04.220Z,19.4128342,-155.2899933,-1.13,1.83,ml,8,190,0.007573,0.12,hv,hv70213897,2018-05-31T18:40:53.260Z,"5km WSW of Volcano, Hawaii",earthquake,0.51,0.79,0.29,6,automatic,hv,hv
2018-05-31T18:35:03.370Z,19.4113331,-155.2818298,0.12,1.99,md,14,74,0.00665,0.11,hv,hv70213892,2018-05-31T18:37:53.010Z,"5km WSW of Volcano, Hawaii",earthquake,0.19,0.32,0.12,9,automatic,hv,hv
2018-05-31T18:07:03.880Z,19.3723335,-155.2978363,0.84,2.5,ml,11,94,0.02076,0.23,hv,hv70213807,2018-05-31T18:12:43.680Z,"9km SW of Volcano, Hawaii",earthquake,0.61,0.5,0.39,3,automatic,hv,hv
2018-05-31T18:06:50.100Z,19.413166,-155.2756653,0.18,1.94,ml,11,126,0.009129,0.09,hv,hv70213802,2018-05-31T18:12:31.670Z,"4km WSW of Volcano, Hawaii",earthquake,0.23,0.41,0.21,9,automatic,hv,hv
2018-05-31T18:06:02.190Z,19.4086666,-155.2983398,1.77,1.98,ml,17,146,0.01399,0.18,hv,hv70213797,2018-05-31T18:11:41.310Z,"6km WSW of Volcano, Hawaii",earthquake,0.36,0.33,0.24,11,automatic,hv,hv
2018-05-31T18:05:35.170Z,19.3964996,-155.2751617,0.62,1.98,ml,10,126,0.001823,0.22,hv,hv70213792,2018-05-31T18:11:14.010Z,"5km SW of Volcano, Hawaii",earthquake,0.35,0.32,0.31,11,automatic,hv,hv
2018-05-31T17:36:40.540Z,19.4029999,-155.293335,0.36,2.16,ml,19,67,0.01699,0.17,hv,hv70213717,2018-05-31T17:42:20.690Z,"6km WSW of Volcano, Hawaii",earthquake,0.28,0.31,0.27,10,automatic,hv,hv
2018-05-31T17:11:05.360Z,19.4138336,-155.2819977,0.56,2.05,ml,13,84,0.004293,0.12,hv,hv70213637,2018-05-31T17:16:45.340Z,"5km WSW of Volcano, Hawaii",earthquake,0.23,0.26,0.41,4,automatic,hv,hv
